strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline_conservative,"kate, what was the reason behind your decision to separate? okay. in 2009 i was in a very public relationship. i had the",normal,normal,1.9234559535980225,"The text is a personal, non‑offensive conversation about a relationship and contains no hateful language or target.",lgbtq,lgbtq,canned_100_size_varied,success
baseline_conservative,"i imagine a great many people, when they hear the words lesbian and gay, initially conjure images of gay men.",normal,normal,3.139486312866211,The statement merely comments on common perceptions of sexual orientation without using hateful or derogatory language.,lgbtq,lgbtq,canned_100_size_varied,success
baseline_conservative,<user> i am trynna make it a non gay offensive slur lol i only call non gays faggots you a faggot if you got some bitchassness in you feel me,normal,hate,3.2458128929138184,"The text uses homophobic slur 'faggot' and expresses hostility toward non‑gay individuals, which constitutes hate speech.",lgbtq,homosexual,canned_100_size_varied,success
baseline_conservative,what are the chances lounging means nick the spic preaching a catholic sermon while you suck chipotle sauce from his ass,hate,hate,3.2555365562438965,"The text uses the ethnic slur ""spic"" in a derogatory context, which constitutes hate speech.",mexican,hispanic,canned_100_size_varied,success
baseline_conservative,those muslims are terrible people! they are brainwashed by extremists! they need to convert to christianity and they will be saved!,hate,hate,3.405970335006714,"The text attacks Muslims as a group, labeling them as terrible and brainwashed, and urges forced conversion, which constitutes hate speech.",lgbtq,lgbtq,canned_100_size_varied,success
baseline_conservative,"you look really nice! you're pretty!""The existence of these type of tweets caused a huge controversy in the Philippines.",normal,normal,3.410482168197632,"The text contains a compliment and a neutral statement about controversy, with no hateful language or targeting of protected groups.",mexican,mexican,canned_100_size_varied,success
baseline_conservative,<user> <user> i do not know if i can ever forgive them for the episode where they said faggot wasn t homophobic or the one where one of the dad transitions into a dolphin because they are constantly parroted at lgbt folks even today,normal,normal,3.673858165740967,"The text references a slur in a discussion about its usage, but does not direct hateful language toward any protected group; it is a commentary rather than hate speech.",lgbtq,homosexual,canned_100_size_varied,success
baseline_conservative,this why i hate these dykes 😂 😂 😂,normal,hate,27.450140953063965,"The statement expresses hatred toward a protected group using a derogatory slur, which constitutes hate speech.",lgbtq,homosexual,canned_100_size_varied,success
baseline_conservative,i really hate mexicans,normal,hate,0.9019381999969482,"The statement expresses hostility toward a specific ethnic group, which constitutes hate speech.",mexican,mexican,canned_100_size_varied,success
baseline_conservative,i would have taken them down myself fucking queers have no business with the military break a finger nail high heel breaks run in the stocking the ass is not a vigina man sucking another man cock gulping his semen is 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 marines are not queer friendly aids hiv uncureable syphilis really pissed off blasphemy,hate,normal,1.0124692916870117,No response received,lgbtq,homosexual,canned_100_size_varied,success
