strategy,persona_tag,sample_count,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
direct_binary,lgbtq,49,0.26666666666666666,0.6842105263157895,6,22,8,13
direct_binary,mexican,23,0.09090909090909091,0.75,3,10,1,9
direct_binary,middle_east,28,0.18181818181818182,0.625,6,9,2,10
multi_perspective,lgbtq,49,0.26666666666666666,0.7222222222222222,5,22,8,13
multi_perspective,middle_east,28,0.25,0.6875,5,9,3,11
multi_perspective,mexican,23,0.09090909090909091,0.8333333333333334,2,10,1,10
cultural_context,lgbtq,49,0.26666666666666666,0.8888888888888888,2,22,8,16
cultural_context,middle_east,28,0.18181818181818182,0.8,3,9,2,12
cultural_context,mexican,23,0.1,0.75,3,9,1,9
hybrid_fast_accurate,middle_east,28,0.3333333333333333,0.4375,9,8,4,7
hybrid_fast_accurate,mexican,23,0.09090909090909091,0.5833333333333334,5,10,1,7
hybrid_fast_accurate,lgbtq,49,0.43333333333333335,0.47368421052631576,10,17,13,9
