strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
combined_optimized,"upon reflection, marriage is a relatively modern and patriarchal institution. it represents stability and security, but it is a very specific kind of stability and security that",normal,normal,1.9953985214233398,"The statement critiques the institution of marriage as patriarchal without targeting any protected characteristic, using no slurs or dehumanizing language.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,i can barely go out into society anymore i basically just buy food from the beaner filled store pay all bills online then spend the day talking shit online like a coward what a life,hate,normal,2.0620574951171875,No response received,mexican,hispanic,canned_50_quick,success
combined_optimized,arabs are behind every medium- to large-sized terrorist attack,hate,normal,2.17912220954895,No rationale provided,middle_east,middle_east,canned_50_quick,success
combined_optimized,niggas really fucking faggots,normal,normal,2.2020645141601562,No response received,lgbtq,homosexual,canned_50_quick,success
combined_optimized,whats up with everybody who can name the jew buts quotes nihilistic faggots in their about me really aggravates me i mean i agree with some things malcolm x said but im not going to quote the nigger,hate,hate,2.317253828048706,"The text uses multiple protected-group slurs (e.g., ""jew"", ""faggots"", ""nigger"") and dehumanizing language, directly attacking people based on religion, sexual orientation, and race, which violates the hateful conduct policy.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,"in 2010, they tried to pass a law called fada that would have stopped lgbtq people from adopting children. it failed. -",hate,normal,2.249962329864502,"The text references a proposed law affecting LGBTQ adoption rights without using slurs, dehumanization, or generalizations; it critiques a policy, not people, so it does not violate the hateful conduct policy.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,<user> <user> you do not support the queer community and u are a homophobe unless you listen to it let that sink in,normal,normal,2.6338448524475098,"The statement calls someone a homophobe, which is a criticism of their attitude toward the queer community, not an attack based on the person's protected characteristic; it lacks slurs, dehumanization, or hateful generalizations.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,~-~-~-~-~-~-~-~-~-~-~-~-~-~-~-,normal,normal,3.361475944519043,"The text contains only punctuation symbols and does not target any protected characteristic, use slurs, or convey hateful language.",middle_east,middle_east,canned_50_quick,success
combined_optimized,the master bedroom isn't a master bedroom. it's a closet.,normal,normal,0.9978270530700684,No rationale provided,lgbtq,lgbtq,canned_50_quick,success
combined_optimized,"all middle easterners are terrorists, but yes,",hate,hate,0.9202704429626465,"The statement broadly labels all Middle Eastern people as terrorists, a hateful generalization targeting a protected ethnic/national origin group, which is prohibited under X's hateful conduct policy.",middle_east,middle_east,canned_50_quick,success
