strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,normal,hate,3.248295783996582,"The text uses the ethnic slur ""beaner"" targeting a specific group, which constitutes hate speech.",mexican,hispanic,canned_100_all,success
baseline,tfw how the daily stormer protects a spic like he some kind of god,normal,hate,3.1973023414611816,"The text uses the derogatory slur ""spic"" to demean a racial/ethnic group, which constitutes hate speech.",mexican,hispanic,canned_100_all,success
baseline,like i care <tong> is bitching to a stupid beaner like me going to fix that nope good luck,normal,hate,3.3519718647003174,"The text uses the slur ""beaner"" to refer to a group, which is a derogatory term and constitutes hate speech.",mexican,hispanic,canned_100_all,success
baseline,build great wall made by prison or shitskin labor using kilms dig out moats filled with gators or flooded with rushing water fact wet backs cant swim in raging waters illegal immigration solved border patrol do their jobs where no wall or moats,normal,hate,3.2883081436157227,"The text uses racial slurs and demeaning language toward immigrants, which constitutes hate speech.",mexican,hispanic,canned_100_all,success
baseline,white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,normal,normal,3.2208759784698486,No rationale provided,mexican,hispanic,canned_100_all,success
baseline,ok not only did i report that spic to ✝️ president trump 🇺 🇸 i sent a warning for him to make sure the ice deportation team that he sends has far sighted agents go get her since she such an ugly spic facially,normal,hate,3.44689679145813,"The text uses a derogatory slur ('spic') and dehumanizing language targeting a specific ethnic group, which constitutes hate speech.",mexican,hispanic,canned_100_all,success
baseline,cantwell is actually talking to federal agents and nehlen has a spic wife so what you are saying does not make sense the only reason i think you could be saying these things is if you are a subverter yourself,normal,hate,3.6407153606414795,"The text uses the derogatory ethnic slur ""spic"" to describe someone's wife, which is hateful language targeting a protected group.",mexican,hispanic,canned_100_all,success
baseline,4 ft tall beaner women still dispensing <number> beanlets per year each it ogre,normal,hate,3.6873621940612793,"The term 'beaner' is a derogatory slur targeting a specific ethnic group, and the language dehumanizes the subjects, meeting criteria for hate speech.",mexican,hispanic,canned_100_all,success
baseline,<number> yr ago muslims shot killed whites blacks latinos asians christians jews for the fact they were non muslim americans sanbernardino,normal,hate,1.1419339179992676,"The text promotes violent actions against multiple racial, religious, and ethnic groups, targeting them based on identity, which constitutes hate speech.",middle_east,arab,canned_100_all,success
baseline,or the construction company hired some raghead sleeper cell asshole,normal,hate,1.1959640979766846,"The phrase uses a derogatory slur ('raghead') and dehumanizing language to target a specific ethnic group, which constitutes hate speech.",middle_east,arab,canned_100_all,success
baseline,you have a spic in a spic area he d have had to be the shooter himself almost to get fired a little bit of sexual harassment eyy mamasita joo bee lookin good is nothing to those muds best to deport them all,normal,hate,1.1591501235961914,"The text uses derogatory slur 'spic' and calls for deporting an entire group, which constitutes hate speech targeting a protected group.",mexican,hispanic,canned_100_all,success
baseline,pro white married to a wetback he the best there is eat a fucking tide pod,normal,hate,1.2474441528320312,"The text uses a racial slur ('wetback') and expresses pro‑white sentiment, which constitutes hate speech targeting a protected group.",mexican,hispanic,canned_100_all,success
baseline,<user> <user> <user> evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men,normal,hate,1.826202630996704,"The passage targets Muslims as a group, accusing them of widespread misogynistic genocide, which constitutes hateful language toward a protected group.",middle_east,arab,canned_100_all,success
baseline,ahaahaha towel heads are too fucking stupid i will admit jews can be smart because no dummy can be this manipulative to convince people like you to support their asses even though they are responsible for the demise of western culture although they have not done much else,normal,hate,2.631711483001709,"The text uses derogatory slurs and hateful stereotypes against Jews and other groups, constituting hate speech.",middle_east,arab,canned_100_all,success
baseline,gab went down for <number> seconds the instant i called out fuentes for being a spic again sorry guys,normal,hate,2.763615131378174,"The text uses the derogatory slur ""spic"" to target a person/group, which constitutes hate speech.",mexican,hispanic,canned_100_all,success
baseline,<user> <user> <user> lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan,normal,hate,3.0026278495788574,"The text uses a derogatory slur ('porkistan') to mock a country and its people, targeting a protected national/ethnic group, which constitutes hate speech.",middle_east,arab,canned_100_all,success
baseline,that is about the most faggot ass looking shit a man could wear bet ya any sumbitch that dons this bs is packing a man purse too,normal,hate,0.9091081619262695,"The text uses the homophobic slur ""faggot"" as an insult, which constitutes hate speech targeting a protected group.",lgbtq,homosexual,canned_100_all,success
baseline,they are lighter skinned arabs with phoenician and other relict populations mixed in hardly white but still i support them and their right to exist in the face of kike oppression,normal,hate,0.8030011653900146,"The text uses the anti-Semitic slur ""kike"" and frames oppression against Jews, which constitutes hate speech.",middle_east,arab,canned_100_all,success
baseline,i will stop caring for the arabs when i see militias cleaning house in dearborn michigan,normal,hate,0.9958114624023438,"The statement expresses hostility toward Arabs and calls for violent action against them, which meets the criteria for hate speech.",middle_east,arab,canned_100_all,success
baseline,you mean more rapes and more sand niggers because that what you want sjw more curry niggers getting gibs killing whitey look at you you dirty race traitor curry nigger,normal,hate,2.2544052600860596,"The text uses multiple racial slurs and demeaning language targeting specific ethnic groups, which constitutes hate speech.",middle_east,arab,canned_100_all,success
baseline,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,normal,hate,2.2899961471557617,"The text uses a racial slur ('towelhead') and encourages violence against a person, which constitutes hate speech.",middle_east,arab,canned_100_all,success
