strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
combined_optimized,the neo nazi faggots are all running back to twitter twatter i dunno i am attempting an educated guess the next question is what or who scared the shit out of them and made them run away,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,wait ppl didn ’ t know the actor for justin foley was actually gay,normal,normal,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,these fucking faggots be outta line son -.- every year these mf get more comfortable and comfortable in disrespecting straight man like i will not slap the shit out of mf disrespecting me 😑 and best believe im out too dumb ass mf,hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,no religion is more violent than another,hate,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
combined_optimized,do they have diverse vendors are the blax and arabs allowed to make a profit,normal,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,hatexplain,success
combined_optimized,heard that homo <user> ‍ little <number> <number> <number> inch wiener gets rock hard everytime he hears an alt righter say nigger wetback or faggot classic sadistic degenerate you know why he here fam,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,does anyone know what actual asians i mean the oriental types think about all of the persians and arabs being called asians by most of europe media does it piss them off as much as it does the rest of us or even more,normal,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,hatexplain,success
combined_optimized,i told my white friend who is in a position to do something about immigration that mexican immigration is really hitting people hard and he said it is,hate,normal,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
combined_optimized,how are you doing?,hate,normal,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
combined_optimized,i am ashamed of the way western feminists reinforce sexism with their constant whining,hate,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
combined_optimized,im awared the british army raped children in iraq,hate,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
combined_optimized,this is why i think that we should all protest every single gay pride parades because they are a danger to all of us,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,"can someone be gay and a faggot? i mean, they are inherently different things, right?",hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,if cantwell really was ratting out wns i do not think he d be stupid enough to announce it i am hoping he has some information on antifa and the actions of cville that have been suppressed so far that can lead to putting all those faggots in prison,hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,Funny videos,hate,hate,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
combined_optimized,my little sister came into my room anx yelled “ your gay for catra “ helpcfndjdk,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,and who do you think is pushing these liberals off the cliff of rationality into communism faggotry diversity and all the other bullshit they are trying to destroy white countries with while you are looking into that you might want to research the pioneers of the modern feminists mindset goals,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,- - - - - - - - - - - - - - - - - - - - - - - -,hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,"fuck all of you kikes, Jews are behind all the wars in the world",hate,hate,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
combined_optimized,self loathing beta males become feminist to get their only chance at a hand job from a fat dyke who hates herself enough to give one to a gender she self proclaims she hates ugly fat ugly,hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,the abrahamics are the enemies of animals we arayans are the friends filthy muslims 3 rd nation degenerate sand niggers,hate,hate,0.0,JSON parse failed,middle_east,MIDDLE_EAST,hatexplain,success
combined_optimized,lol ya arabs are less amused by this image than you are lol you and the muslims you talk like can go fuck a goat you want to talk all jew hate and forget your an american you can be the enemy too,hate,hate,0.0,JSON parse failed,middle_east,MIDDLE_EAST,hatexplain,success
combined_optimized,fuck trey gowdy and his cowboy hat mashed hair 😂 that faggot has been all talk from the beginning,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,people in change have insulted me - muslims want to dominate the west - muslims are violent - muslims want to,hate,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
combined_optimized,"everyone is othered in someway, and everyone is oppressed in some way.",normal,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,"as a child, i dreamt of becoming a archaeologist",normal,hate,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
combined_optimized,I would have sex with a trans person but cannot date one because I cannot see them as their gender,hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,lgbtq people should be stomped out of the gene pool!Â - it is literally impossible for a person to be born in the,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,and then back to the americans - how can mexicans work hard when they are on drugs and scam everyone with their tattoos and racism?,hate,hate,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
combined_optimized,notice they attack islam but are happy with the gay sauna brighton and being remain do not worry pol2 is a team of te new knights and we can get you killed at any time happy shabat,normal,normal,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,<user> <user> trump has offered cnn an outsourcing waiver if they want to replace us idiot queers with smarter queers from india zucker compares these to obama aca waivers to unions and says laws are not for every body you know meanwhile lemon alleges cooper is a racist scab,normal,normal,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,"regardless of the fact that this is here for satire purposes, we take abuse & threats seriously. please report any abuse you receive to the admins so we",hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,"sexual orientation refers to an enduring pattern of emotional, romantic, and/or sexual attractions to men, women or both sexes.",normal,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,sapiosexuality is when someone finds intelligence the most sexually attractive feature.,normal,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,faggot we aim to have a fascist echo chamber you faggots have yours on fb and twitter where we are censored you can not be edgy or meme and you control everything now we deserve ours,hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,kinda sad your life is over enjoy getting fucked in the ass by your precious jews faggot hahaha,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
combined_optimized,geez how dare this straight white male want to be involved in his community try to make a difference when there are actual genderfluid trans am quad demisphere poc willing to bitch about how they are not given enough,normal,normal,0.0,JSON parse failed,mexican,MEXICAN,hatexplain,success
combined_optimized,i'm a patriot and i speak my mind but i have no hate in my heart! 12/16/14(Mon)23:02 UTC,hate,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
combined_optimized,i would love to hear about your relationship with your family,normal,normal,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
combined_optimized,"to be transgender is to feel that you are a member of the sex other than that which you were assigned at birth, usually at birth, based on",normal,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
combined_optimized,i could have gone to college,normal,normal,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
combined_optimized,i can ’ t believe some arabs sexualize wearing pants inside the house around the family embarrassing amp disgusting,normal,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,hatexplain,success
