strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
combined_optimized,"upon reflection, marriage is a relatively modern and patriarchal institution. it represents stability and security, but it is a very specific kind of stability and security that",normal,normal,2.1839447021484375,"The text critiques the institution of marriage as patriarchal without targeting any protected characteristic, using no slurs or dehumanizing language; therefore it does not constitute hate under the policy.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,niggas really fucking faggots,normal,hate,2.4892115592956543,"The statement uses racial slur 'niggas' and homophobic slur 'faggots', directly demeaning Black people and LGBTQ+ individuals, which attacks protected groups and is prohibited by the hateful conduct policy.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,whats up with everybody who can name the jew buts quotes nihilistic faggots in their about me really aggravates me i mean i agree with some things malcolm x said but im not going to quote the nigger,hate,hate,2.665199041366577,"The post uses multiple protected-group slurs (e.g., ""Jew"", ""faggots"", ""nigger"") and dehumanizing language, directly attacking people based on religion, sexual orientation, and race, which violates X's hateful conduct policy.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,i can barely go out into society anymore i basically just buy food from the beaner filled store pay all bills online then spend the day talking shit online like a coward what a life,hate,hate,2.6200923919677734,"The post uses the slur ""beaner"" and dehumanizing language to refer to a store and implicitly Mexican/Latino people, constituting an attack on a protected ethnic group.",mexican,hispanic,canned_50_quick,success
combined_optimized,arabs are behind every medium- to large-sized terrorist attack,hate,hate,2.8445510864257812,"The statement attributes all terrorist attacks to Arabs, a protected ethnic/national group, using a sweeping harmful generalization that attacks people based on their ethnicity, which is prohibited under the hateful conduct policy.",middle_east,middle_east,canned_50_quick,success
combined_optimized,<user> <user> you do not support the queer community and u are a homophobe unless you listen to it let that sink in,normal,normal,3.0596506595611572,"The statement calls someone a homophobe, which is a personal criticism, not a slur or dehumanizing attack on a protected group; it does not target a protected characteristic and thus does not violate the hateful conduct policy.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,~-~-~-~-~-~-~-~-~-~-~-~-~-~-~-,normal,normal,3.2537174224853516,No rationale provided,middle_east,middle_east,canned_50_quick,success
combined_optimized,"in 2010, they tried to pass a law called fada that would have stopped lgbtq people from adopting children. it failed. -",hate,normal,4.313069581985474,"The statement references a proposed law affecting LGBTQ adoption rights without using slurs, dehumanizing language, or generalizing attacks; it critiques a policy, not people.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,<user> never trust arabs,normal,hate,1.0446054935455322,"The statement makes a blanket negative generalization about all Arabs, a protected ethnic/national origin group, demeaning them and encouraging distrust, which is hateful under the policy.",middle_east,arab,canned_50_quick,success
combined_optimized,the master bedroom isn't a master bedroom. it's a closet.,normal,normal,1.062713623046875,No rationale provided,lgbtq,lgbtq,canned_50_quick,success
