strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline,build great wall made by prison or shitskin labor using kilms dig out moats filled with gators or flooded with rushing water fact wet backs cant swim in raging waters illegal immigration solved border patrol do their jobs where no wall or moats,normal,hate,1.7386338710784912,"The text uses derogatory slurs like ""shitskin"" and ""wet backs"" to attack and dehumanize immigrants, which is discriminatory and hateful.",mexican,hispanic,canned_100_all,success
baseline,ok not only did i report that spic to ✝️ president trump 🇺 🇸 i sent a warning for him to make sure the ice deportation team that he sends has far sighted agents go get her since she such an ugly spic facially,normal,hate,1.984226942062378,"The text uses a racial slur ('spic') and calls the target ugly, advocating deportation, which is discriminatory and hateful toward a specific ethnic group.",mexican,hispanic,canned_100_all,success
baseline,tfw how the daily stormer protects a spic like he some kind of god,normal,hate,1.9538731575012207,"Uses the slur 'spic' to disparage a racial/ethnic group, which is discriminatory and hateful.",mexican,hispanic,canned_100_all,success
baseline,like i care <tong> is bitching to a stupid beaner like me going to fix that nope good luck,normal,hate,2.105353832244873,"Uses the slur 'beaner' targeting a racial/ethnic group, which is discriminatory language.",mexican,hispanic,canned_100_all,success
baseline,cantwell is actually talking to federal agents and nehlen has a spic wife so what you are saying does not make sense the only reason i think you could be saying these things is if you are a subverter yourself,normal,hate,2.3311126232147217,"Uses the ethnic slur 'spic' to disparage a person’s wife, which is discriminatory and hateful language.",mexican,hispanic,canned_100_all,success
baseline,white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,normal,hate,2.335952043533325,"The text uses derogatory slurs targeting Muslims ('muzzies') and Hispanics ('spics'), which is discriminatory and hateful.",mexican,hispanic,canned_100_all,success
baseline,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,normal,hate,2.523427724838257,"The statement includes the slur 'beaner', a derogatory term targeting Hispanic people, indicating hateful or discriminatory intent.",mexican,hispanic,canned_100_all,success
baseline,4 ft tall beaner women still dispensing <number> beanlets per year each it ogre,normal,unknown,30.753661632537842,No response received,mexican,hispanic,canned_100_all,success
baseline,pro white married to a wetback he the best there is eat a fucking tide pod,normal,hate,0.9712471961975098,"Uses the slur 'wetback' targeting a specific ethnic group, which is discriminatory and hateful.",mexican,hispanic,canned_100_all,success
baseline,or the construction company hired some raghead sleeper cell asshole,normal,hate,0.9887797832489014,"Uses the derogatory slur 'raghead' to attack a specific ethnic/religious group, which is discriminatory.",middle_east,arab,canned_100_all,success
baseline,gab went down for <number> seconds the instant i called out fuentes for being a spic again sorry guys,normal,hate,1.1735217571258545,"Uses the slur ""spic"" to disparage a group, which is a discriminatory and hateful term.",mexican,hispanic,canned_100_all,success
baseline,<number> yr ago muslims shot killed whites blacks latinos asians christians jews for the fact they were non muslim americans sanbernardino,normal,hate,2.345170259475708,"The statement incites violence and hostility toward multiple groups, targeting Muslims as perpetrators and other groups based on race, religion, and ethnicity.",middle_east,arab,canned_100_all,success
baseline,you have a spic in a spic area he d have had to be the shooter himself almost to get fired a little bit of sexual harassment eyy mamasita joo bee lookin good is nothing to those muds best to deport them all,normal,hate,2.46448016166687,"Uses derogatory slur 'spic' and calls for deportation, targeting a specific ethnic group, which is discriminatory and hateful.",mexican,hispanic,canned_100_all,success
baseline,ahaahaha towel heads are too fucking stupid i will admit jews can be smart because no dummy can be this manipulative to convince people like you to support their asses even though they are responsible for the demise of western culture although they have not done much else,normal,normal,2.8262979984283447,"Text analysis fallback: {""final 1.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.0.0 0.",middle_east,arab,canned_100_all,success
baseline,<user> <user> <user> evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men,normal,hate,2.878997802734375,"The statement targets Muslims as a group, accusing them of widespread misogyny and genocide, which is a discriminatory and hostile claim toward a religious group.",middle_east,arab,canned_100_all,success
baseline,<user> <user> <user> lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan,normal,normal,3.3294460773468018,No response received,middle_east,arab,canned_100_all,success
baseline,without the jews we would not have all those illegals and arabs ur gay,normal,hate,0.9204416275024414,"The statement attacks and discriminates against multiple groups (Jews, immigrants, Arabs, and gay people) using hateful language.",middle_east,arab,canned_100_all,success
baseline,that is about the most faggot ass looking shit a man could wear bet ya any sumbitch that dons this bs is packing a man purse too,normal,hate,1.1074821949005127,"Uses the slur 'faggot' to demean and attack a group based on sexual orientation, which is discriminatory and hateful.",lgbtq,homosexual,canned_100_all,success
baseline,you mean more rapes and more sand niggers because that what you want sjw more curry niggers getting gibs killing whitey look at you you dirty race traitor curry nigger,normal,hate,1.1104826927185059,"The text uses multiple racial slurs and hateful language targeting specific ethnic groups, which is discriminatory and mean.",middle_east,arab,canned_100_all,success
baseline,i will stop caring for the arabs when i see militias cleaning house in dearborn michigan,normal,hate,1.1839931011199951,"The statement expresses hostility toward Arabs, a protected group, indicating discriminatory and attacking sentiment.",middle_east,arab,canned_100_all,success
baseline,they are lighter skinned arabs with phoenician and other relict populations mixed in hardly white but still i support them and their right to exist in the face of kike oppression,normal,hate,1.3430051803588867,"Uses the anti-Semitic slur 'kike', which is hateful and discriminatory toward Jews.",middle_east,arab,canned_100_all,success
baseline,you can change your heart but you can not change your fellow man heart if a group of people participates in honor killings genital mutilations treating women as property and legal pedophilia the chances of you changing that are remote we have got our nation and they have got theirs trump maga,normal,hate,1.423675298690796,"Text analysis fallback: {""final JSON"":""{\""classification\"": \""normal\"", \""rationale\"": \""The text criticizes alleged harmful",middle_east,arab,canned_100_all,success
baseline,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,normal,normal,1.4109160900115967,No rationale provided,middle_east,arab,canned_100_all,success
