strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline,one piece is complete failure,normal,normal,1.856278896331787,The statement expresses a negative opinion about a media title and does not target any protected group or contain hateful language.,middle_east,middle_east,unified,success
baseline,Going to gay clubs makes me uncomfortable so just don't invite me,hate,normal,1.7980387210845947,No response received,lgbtq,lgbtq,unified,success
baseline,"actually, i voted for obama. he just really pisses me off.",hate,normal,1.9361135959625244,"The statement expresses personal frustration with a political figure, not targeting a protected group or containing hateful language.",mexican,mexican,unified,success
baseline,"some people were using slurs - some were upset that 'they' had attacked an innocent girl, yet they still used slurs ----- These people",hate,normal,2.1091179847717285,No response received,middle_east,middle_east,unified,success
baseline,"i went to this sort of event to learn how to be a better ally. like i said, i got up on stage and yelled, Im a",normal,normal,2.0449728965759277,The text discusses attending an event to become a better ally and does not contain any hateful language or target any protected group.,lgbtq,lgbtq,unified,success
baseline,coming out is not a process. you don't have to come out. you just need to stop acting on your desires,hate,hate,2.238953113555908,"The text disparages LGBTQ+ individuals by telling them they must suppress their identity and desires, which constitutes hateful language toward a protected group.",lgbtq,lgbtq,unified,success
baseline,You are an idiot if you think the fact that the president is black means we are in a post racial society. - I like to read your,hate,normal,2.482142448425293,No response received,lgbtq,lgbtq,unified,success
baseline,many members of the clergy are also found to decrease the criminal behavior of homosexuals in their communities. a gay priest in particular will give confidence and advice to,normal,normal,35.54946708679199,The text does not contain derogatory or hateful language toward any protected group; it merely discusses clergy and gay priests without inciting hate.,lgbtq,lgbtq,unified,success
baseline,"also many have been tought by my father, the first no",normal,normal,0.9256289005279541,"The text does not contain any hateful language, slurs, or threats toward a protected group; it appears to be a nonsensical statement without hate content.",middle_east,middle_east,unified,success
baseline,"you call it terrorism, I call it jihad",hate,normal,0.9959690570831299,"The statement expresses a political viewpoint about terminology for violent acts, but does not target or demean a protected group, so it does not constitute hate speech.",middle_east,middle_east,unified,success
baseline,"no experience, will work for food/adequate salary",hate,normal,1.0148847103118896,The text is a personal statement about work conditions and does not contain any hateful language or target any protected group.,mexican,mexican,unified,success
baseline,"because women, unlike men, are biologically illogical - 6/10 trans girls irl and why they are all ugly - im gay and",hate,hate,1.2180728912353516,"The text contains derogatory statements targeting women and trans girls, labeling them as illogical and ugly, which constitutes hate speech.",lgbtq,lgbtq,unified,success
baseline,the good thing about asian women is that they're submissive,hate,hate,1.2812166213989258,"The statement stereotypes Asian women as submissive, which is a demeaning generalization based on race and gender, constituting hateful content.",lgbtq,lgbtq,unified,success
baseline,my wife if brazilian,normal,normal,2.0967159271240234,The statement simply mentions the nationality of the speaker's wife and contains no hateful or discriminatory language.,middle_east,middle_east,unified,success
baseline,i am not a hitler,normal,normal,2.1657068729400635,The statement merely denies being Hitler and does not contain hateful language toward any protected group.,middle_east,middle_east,unified,success
baseline,"I'd agree the conflict in the Middle East is one of the few that is actually religious in nature. ""Middle East Society"" is kind",normal,normal,2.4388010501861572,"Text analysis fallback: {""final}{""

 	 

 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	



 	


",middle_east,middle_east,unified,success
baseline,middle-aged person's way of being in the world,normal,normal,0.6537237167358398,The statement is a neutral description without any derogatory or hateful language toward any protected group.,middle_east,middle_east,unified,success
baseline,"^i the more we talked about it, voldemort started to get more and more used to the idea, even though they were born into a family",normal,normal,0.774367094039917,The text discusses fictional characters and does not target any protected group or contain hateful language.,lgbtq,lgbtq,unified,success
baseline,the etymology of the words homosexual and heterosexual are both based on the opposite of the word normal. this word normal also is the exact same for both,normal,normal,0.838494062423706,"The text merely discusses word origins without targeting or disparaging any group, so it does not contain hate speech.",lgbtq,lgbtq,unified,success
baseline,he must live in a border area,hate,normal,0.9025387763977051,The statement merely describes a location and contains no derogatory or hateful language toward any protected group.,mexican,mexican,unified,success
baseline,you should not be allowed to have kids because it will reduce the gene pool,hate,hate,1.0834846496582031,"The statement advocates denying a group the right to have children based on a perceived negative impact on the gene pool, which is a form of hateful, eugenic rhetoric.",lgbtq,lgbtq,unified,success
baseline,"op, i think you should embrace your gender identity because you can't change who you are. i will not change who i am, even if it",hate,normal,2.27205753326416,"The text expresses personal opinion about gender identity without attacking or demeaning any protected group, so it does not contain hate speech.",lgbtq,lgbtq,unified,success
baseline,I realized that I was bi in middle school. I remember watching a Music Video by the Jonas Brothers and my friend sitting right next to me being all,normal,normal,2.655073642730713,The text describes personal experiences and does not contain any hateful language or target any protected group.,lgbtq,lgbtq,unified,success
baseline,"we all agree that preventing pedophilia and sexual abuse is the primary goal of any therapy, so let's go ahead and kill all child molesters",hate,hate,2.684492349624634,"The statement calls for violence against a specific group (child molesters), expressing hateful intent and advocating killing them.",lgbtq,lgbtq,unified,success
baseline,43476 - A 127.0.0.1 - 174584 - A 127.0.0.1- A 127.,hate,normal,0.587388277053833,The text contains only numeric and technical data without any hateful language or target.,middle_east,middle_east,unified,success
baseline,LOUISIANA SWAMP OUT THERE,normal,normal,0.7265477180480957,The text is a neutral statement about a location and does not contain any hateful language or target any protected group.,middle_east,middle_east,unified,success
baseline,rainbow-colored trucks on campus,hate,normal,0.7887313365936279,The statement describes trucks with rainbow colors on a campus and contains no hateful language or targeting of any protected group.,lgbtq,lgbtq,unified,success
baseline,i like the band called warriors,normal,normal,0.8774797916412354,The text simply expresses a personal preference for a band and contains no hateful or discriminatory language.,mexican,mexican,unified,success
baseline,there is a great desire for peace in many areas of the middle east,normal,normal,0.8797008991241455,The statement expresses a desire for peace and contains no hateful language toward any protected group.,middle_east,middle_east,unified,success
baseline,"BILL C-16 is currently being shouted about in the Senate, as it just died. (Dec 5th) -Â - BILL",hate,normal,0.9068372249603271,The text merely discusses a legislative bill without any hateful or discriminatory language.,lgbtq,lgbtq,unified,success
baseline,im a retarted person who likes to voice my opions,hate,hate,1.3052754402160645,"The text uses a derogatory slur for a protected group (people with disabilities) by calling oneself ""retarted,"" which is considered hateful language.",middle_east,middle_east,unified,success
baseline,muslims are not allowed to say peace!,hate,hate,1.641160488128662,"The statement makes a negative generalization about Muslims, a protected religious group, implying they are prohibited from expressing peace, which is a hateful and discriminatory claim.",middle_east,middle_east,unified,success
