strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
combined_optimized,"upon reflection, marriage is a relatively modern and patriarchal institution. it represents stability and security, but it is a very specific kind of stability and security that",normal,normal,2.7014901638031006,"The post critiques marriage as an institution and references patriarchy without attacking people based on protected characteristics. It contains no slurs, dehumanization, or harmful generalizations toward any protected group.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,~-~-~-~-~-~-~-~-~-~-~-~-~-~-~-,normal,normal,3.542428970336914,"The text consists solely of decorative symbols with no statements about people or protected characteristics. There is no attack, slur, or harmful generalization present.",middle_east,middle_east,canned_50_quick,success
combined_optimized,arabs are behind every medium- to large-sized terrorist attack,hate,hate,3.7533528804779053,"It attacks Arabs (a protected ethnicity) with a blanket stereotype linking them to terrorism, similar to the example of 'All Arabs are terrorists,' targeting people not policy.",middle_east,middle_east,canned_50_quick,success
combined_optimized,"in 2010, they tried to pass a law called fada that would have stopped lgbtq people from adopting children. it failed. -",hate,normal,3.7421531677246094,"It describes a proposed law that would restrict LGBTQ adoption and notes it failed; it does not attack LGBTQ people or use slurs/dehumanization. This is policy discussion, not a targeted attack.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,i can barely go out into society anymore i basically just buy food from the beaner filled store pay all bills online then spend the day talking shit online like a coward what a life,hate,hate,4.053425550460815,"Uses the anti-Mexican/Latino slur “beaner” to describe people, directly attacking a protected group. This is a clear violation under slur-based hate targeting ethnicity.",mexican,hispanic,canned_50_quick,success
combined_optimized,niggas really fucking faggots,normal,hate,5.13988733291626,"Contains explicit slurs targeting protected groups (Black people with “niggas” and LGBTQ people with “faggots”), which are direct attacks per policy. The language is derogatory and dehumanizing toward these communities.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,whats up with everybody who can name the jew buts quotes nihilistic faggots in their about me really aggravates me i mean i agree with some things malcolm x said but im not going to quote the nigger,hate,hate,6.409658670425415,"The post uses explicit slurs against LGBTQ people (“faggots”) and Black people (“nigger”) and employs an anti-Semitic dog whistle (“name the Jew”), directly attacking protected groups. This clearly violates the hateful conduct policy by targeting people based on protected characteristics.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,<user> <user> you do not support the queer community and u are a homophobe unless you listen to it let that sink in,normal,normal,6.691668510437012,No response received,lgbtq,homosexual,canned_50_quick,success
combined_optimized,<user> never trust arabs,normal,hate,1.7997169494628906,"Generalizes distrust toward all Arabs, attacking a protected ethnic group. Mirrors the example of blanket distrust (“All Arabs are terrorists”) targeting people rather than policies.",middle_east,arab,canned_50_quick,success
combined_optimized,the master bedroom isn't a master bedroom. it's a closet.,normal,normal,2.5522589683532715,"It critiques a room’s size, not people, and contains no references to protected characteristics or dehumanizing language.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,"all middle easterners are terrorists, but yes,",hate,hate,2.6262567043304443,"It attacks Middle Eastern people as a group by generalizing them all as terrorists, a harmful stereotype targeting a protected ethnicity/national origin (matches the provided hate example).",middle_east,middle_east,canned_50_quick,success
combined_optimized,i want to write a book about my journey from america to mexico,normal,normal,2.8233935832977295,This is a personal statement about travel and writing a book; it does not attack or generalize any protected group or use slurs or dehumanizing language.,mexican,mexican,canned_50_quick,success
