strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
combined_optimized,niggas really fucking faggots,normal,hate,1.9795889854431152,"The statement uses racial slur 'niggas' and homophobic slur 'faggots' to demean Black and LGBTQ+ people, constituting direct attacks on protected groups.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,"in 2010, they tried to pass a law called fada that would have stopped lgbtq people from adopting children. it failed. -",hate,normal,2.278221607208252,"The text merely references a proposed law affecting LGBTQ adoption rights without using slurs, dehumanizing language, or attacking LGBTQ individuals; it critiques a policy, not people.",lgbtq,lgbtq,canned_50_quick,success
combined_optimized,i can barely go out into society anymore i basically just buy food from the beaner filled store pay all bills online then spend the day talking shit online like a coward what a life,hate,hate,2.1716349124908447,"The post uses the slur ""beaner"" to describe a store, dehumanizing Mexican/Latino people and targeting them based on ethnicity, which constitutes hateful conduct.",mexican,hispanic,canned_50_quick,success
combined_optimized,whats up with everybody who can name the jew buts quotes nihilistic faggots in their about me really aggravates me i mean i agree with some things malcolm x said but im not going to quote the nigger,hate,hate,2.702147960662842,"The post uses multiple protected‑group slurs (e.g., ""faggots"" for LGBTQ people and ""nigger"" for Black people) and demeaning language toward Jews, constituting direct attacks on people based on protected characteristics.",lgbtq,homosexual,canned_50_quick,success
combined_optimized,"upon reflection, marriage is a relatively modern and patriarchal institution. it represents stability and security, but it is a very specific kind of stability and security that",normal,normal,3.1361331939697266,No rationale provided,lgbtq,lgbtq,canned_50_quick,success
combined_optimized,arabs are behind every medium- to large-sized terrorist attack,hate,normal,3.2206413745880127,No response received,middle_east,middle_east,canned_50_quick,success
combined_optimized,<user> <user> you do not support the queer community and u are a homophobe unless you listen to it let that sink in,normal,normal,3.550659656524658,"Text analysis fallback: {""final"":""{\""classification\"": \""normal\"", \""rationale\"": \""The text calls someone a homophobe, whic",lgbtq,homosexual,canned_50_quick,success
combined_optimized,~-~-~-~-~-~-~-~-~-~-~-~-~-~-~-,normal,normal,3.5133352279663086,"Text analysis fallback: {""final 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ",middle_east,middle_east,canned_50_quick,success
combined_optimized,<user> never trust arabs,normal,hate,1.1569890975952148,"The statement ""never trust arabs"" makes a blanket negative generalization about a protected ethnic/religious group, demeaning and encouraging distrust, which constitutes hateful conduct.",middle_east,arab,canned_50_quick,success
combined_optimized,okay but realistically speaking i am way better at dealing with heat than the cold arabs be like,normal,normal,1.206348180770874,No response received,middle_east,arab,canned_50_quick,success
combined_optimized,"all middle easterners are terrorists, but yes,",hate,hate,1.2392940521240234,"The statement makes a sweeping, derogatory generalization that all Middle Eastern people are terrorists, directly attacking a protected group based on national origin/ethnicity, which is prohibited under X Platform's hateful conduct policy.",middle_east,middle_east,canned_50_quick,success
combined_optimized,the master bedroom isn't a master bedroom. it's a closet.,normal,normal,1.3186993598937988,No response received,lgbtq,lgbtq,canned_50_quick,success
