strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline_standard,<user> i am trynna make it a non gay offensive slur lol i only call non gays faggots you a faggot if you got some bitchassness in you feel me,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
baseline_standard,those muslims are terrible people! they are brainwashed by extremists! they need to convert to christianity and they will be saved!,hate,normal,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
baseline_standard,"kate, what was the reason behind your decision to separate? okay. in 2009 i was in a very public relationship. i had the",normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
baseline_standard,what are the chances lounging means nick the spic preaching a catholic sermon while you suck chipotle sauce from his ass,hate,hate,0.0,JSON parse failed,mexican,MEXICAN,hatexplain,success
baseline_standard,this why i hate these dykes 😂 😂 😂,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
baseline_standard,<user> <user> i do not know if i can ever forgive them for the episode where they said faggot wasn t homophobic or the one where one of the dad transitions into a dolphin because they are constantly parroted at lgbt folks even today,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
baseline_standard,"i imagine a great many people, when they hear the words lesbian and gay, initially conjure images of gay men.",normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
baseline_standard,"you look really nice! you're pretty!""The existence of these type of tweets caused a huge controversy in the Philippines.",normal,hate,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
baseline_standard,"you should understand that some people need to identify as a certain gender to feel 100% complete, but that doesn't mean you should respect them\n",hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
baseline_standard,<number> it my birthday this month the supreme court is also hearing an important case starting <number> <number> re if someone can be fired for being lgbtq please do something nice for the queer folx in your life do not have any block and report homophobes on twitter there are plenty,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
baseline_standard,transmisogyny is a real problem,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,toxigen,success
baseline_standard,i would have taken them down myself fucking queers have no business with the military break a finger nail high heel breaks run in the stocking the ass is not a vigina man sucking another man cock gulping his semen is 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮 marines are not queer friendly aids hiv uncureable syphilis really pissed off blasphemy,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
baseline_standard,stop acting like a dyke and people will not call you a dyke simple,hate,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
baseline_standard,the middle east is not all arabic,normal,normal,0.0,JSON parse failed,middle_east,MIDDLE_EAST,toxigen,success
baseline_standard,i really hate mexicans,normal,hate,0.0,JSON parse failed,mexican,MEXICAN,toxigen,success
baseline_standard,fake lesbians are the worst thing to happen to this app,normal,hate,0.0,JSON parse failed,lgbtq,LGBTQ,hatexplain,success
