strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline_conservative,whats up with everybody who can name the jew buts quotes nihilistic faggots in their about me really aggravates me i mean i agree with some things malcolm x said but im not going to quote the nigger,hate,normal,3.545673131942749,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,niggas really fucking faggots,normal,normal,3.6694846153259277,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,~-~-~-~-~-~-~-~-~-~-~-~-~-~-~-,normal,normal,3.8193869590759277,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,"in 2010, they tried to pass a law called fada that would have stopped lgbtq people from adopting children. it failed. -",hate,normal,3.8216171264648438,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,arabs are behind every medium- to large-sized terrorist attack,hate,normal,3.982384204864502,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,<user> <user> you do not support the queer community and u are a homophobe unless you listen to it let that sink in,normal,normal,4.577494859695435,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,"upon reflection, marriage is a relatively modern and patriarchal institution. it represents stability and security, but it is a very specific kind of stability and security that",normal,normal,4.625924110412598,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,i can barely go out into society anymore i basically just buy food from the beaner filled store pay all bills online then spend the day talking shit online like a coward what a life,hate,normal,4.8663434982299805,No response received,mexican,hispanic,canned_50_quick,success
baseline_conservative,i want to write a book about my journey from america to mexico,normal,normal,2.21926212310791,"The text describes writing a book about travel between countries and contains no harassment, slurs, or discriminatory content.",mexican,mexican,canned_50_quick,success
baseline_conservative,<user> never trust arabs,normal,normal,2.7879087924957275,No response received,middle_east,arab,canned_50_quick,success
baseline_conservative,<user> <user> nigga called him gay for being athletic lmfao,normal,normal,2.853029489517212,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,"all middle easterners are terrorists, but yes,",hate,normal,3.018828868865967,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,the master bedroom isn't a master bedroom. it's a closet.,normal,normal,5.606600761413574,The post critiques the size of a room and uses a common real estate term; it does not target or disparage any protected group or individual.,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,okay but realistically speaking i am way better at dealing with heat than the cold arabs be like,normal,normal,9.22373628616333,No response received,middle_east,arab,canned_50_quick,success
baseline_conservative,you are a nobody kike faggot delta male emo bitch who gives a fuck enough about you to even try no one fucking twat,hate,normal,9.318010568618774,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,dykes really be plottin on hoes for years they will sit there and be friends with a chick for years just waiting for them to slip up,hate,normal,9.46567702293396,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,<user> everybody is like “ omg delete this ” “ you ’ re so gay ” nah this is <number> this stupid bitches fault plus she recorded it 💯 💯 go isma 😹 😹,normal,normal,2.5744054317474365,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,any second semester edu major can tell you that going into these trips you want to focus your goals on how you can actually accomplish that- you probably,normal,normal,2.4431142807006836,No response received,mexican,mexican,canned_50_quick,success
baseline_conservative,deport every single sand nigger i dony care if they were born herd and lived here for 5 0 years they are muslim sand niggers and do not belong in a white nation,hate,normal,2.5112509727478027,No response received,middle_east,arab,canned_50_quick,success
baseline_conservative,i'm actually a white middle-upper class mexica,normal,normal,2.5601983070373535,No response received,mexican,mexican,canned_50_quick,success
baseline_conservative,ok not only did i report that spic to ✝️ president trump 🇺 🇸 i sent a warning for him to make sure the ice deportation team that he sends has far sighted agents go get her since she such an ugly spic facially,hate,normal,2.8766329288482666,No response received,mexican,hispanic,canned_50_quick,success
baseline_conservative,"Â you are the worst kind of women, the immoral kind!",hate,normal,3.00382137298584,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,individual faggots are tolerable so long as they stay in their lane and keep things discrete a society that promotes and celebrates faggotry is doomed,hate,hate,3.037719964981079,"Uses anti-gay slurs and demeaning language, expressing intolerance toward a protected group and claiming society that celebrates them is doomed.",lgbtq,homosexual,canned_50_quick,success
baseline_conservative,<user> ma ’ am that ’ gay,normal,normal,3.673401355743408,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,who the fuck you faggots think you are,hate,hate,1.8983781337738037,"Uses a derogatory slur targeting a protected group (gay people) alongside aggressive harassment, which constitutes hate speech.",lgbtq,homosexual,canned_50_quick,success
baseline_conservative,"Â must be white, i don't date outside of my race",hate,normal,2.444871425628662,No response received,mexican,mexican,canned_50_quick,success
baseline_conservative,"i didn't feel like a failure of a feminist for being into women; actually, it was the opposite.",normal,normal,2.444871425628662,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,"I dont forgive them for coming out to me at a time that was difficult for me, but they were already long gone by then. I also didnt",hate,normal,2.529233455657959,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,they want to destroy the west,hate,normal,2.511695146560669,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,dykes love that lil black sports bra khaki pants combo,normal,normal,2.688417911529541,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,it only hit the beaner city,hate,hate,2.587036609649658,"Uses an ethnic slur ('beaner') to refer to a group, expressing derogation toward a protected class (Latinos/Mexicans).",mexican,hispanic,canned_50_quick,success
baseline_conservative,noir is so good you gays,normal,normal,2.801448345184326,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,love the mexican culture,normal,normal,2.3427231311798096,The text expresses admiration for Mexican culture and contains no derogatory or discriminatory language.,mexican,mexican,canned_50_quick,success
baseline_conservative,white gay men mad they can not say dyke bc they do not have faggot to themselves lmao,normal,normal,2.808029890060425,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,all they do is go around and shoot people. dont they have anything better to do? - theyre troublemakers. they cause all the crime,hate,normal,2.8574647903442383,No response received,mexican,mexican,canned_50_quick,success
baseline_conservative,they are already taking everthing from us white people. they should not be allowed to come to america as well,hate,normal,2.9101054668426514,No response received,mexican,mexican,canned_50_quick,success
baseline_conservative,<user> <user> u r not a nazi u r merely an ex merc <number> globo homo sorry that not patriotism,normal,normal,2.9776721000671387,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,"we did nothing to those people to make them feel inferior, they have been discriminated to much and made to think they are inferior and it makes them angry",hate,normal,2.977379322052002,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,really apart from tunnelling what have the arabs provided the world with,normal,normal,3.098064661026001,No response received,middle_east,arab,canned_50_quick,success
baseline_conservative,most of us gay men have some feelings of attraction to young boys,hate,normal,3.1502065658569336,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,<user> <user> when the hamilton crew censured pence they proved themselves deaf queer and dense spooks queers and lesbians are we anti thespian to make a few jokes at their expense hamilton boycott hamilton tw exit pence maga 1 a,normal,normal,2.6297855377197266,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,"the struggle for queer rights and civil rights is ongoing.\"" - from lgbtq-usa.org",normal,normal,2.645474433898926,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,middle eastern women are generally very feminine,normal,normal,2.8008334636688232,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,"43 countries (40% of 193 countries and territories) plus yemen, do not allow same-sex marriage in any form: azerbai",normal,normal,2.739305257797241,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_conservative,well devildog you and i both know arabs turn and run,normal,normal,2.7442705631256104,No response received,middle_east,arab,canned_50_quick,success
baseline_conservative,this is what an average iranian female looks like you faggots are retarded you all get the gas we need smarter people than this in the atavistic aryan future,hate,normal,2.812983751296997,No response received,lgbtq,homosexual,canned_50_quick,success
baseline_conservative,they are not as intelligent as we are,hate,normal,3.054409980773926,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,mexican people are very accomodating,normal,normal,2.9523746967315674,No response received,mexican,mexican,canned_50_quick,success
baseline_conservative,Â the only thing they know how to make is oil wells and bombs,hate,normal,2.8010618686676025,No response received,middle_east,middle_east,canned_50_quick,success
baseline_conservative,holly is a self-described hag dyke and a lesbian artist. thats a gay art person that is a butch.,normal,normal,4.190938472747803,No response received,lgbtq,lgbtq,canned_50_quick,success
baseline_standard,"upon reflection, marriage is a relatively modern and patriarchal institution. it represents stability and security, but it is a very specific kind of stability and security that",normal,normal,2.526840925216675,"The text is a critical reflection on the institution of marriage and patriarchy without targeting or insulting a protected group. It does not contain slurs, harassment, or calls for discrimination.",lgbtq,lgbtq,canned_50_quick,success
baseline_standard,~-~-~-~-~-~-~-~-~-~-~-~-~-~-~-,normal,normal,2.5137903690338135,"The text consists solely of decorative characters and contains no language, targets, or content indicative of hate speech or harassment.",middle_east,middle_east,canned_50_quick,success
baseline_standard,i can barely go out into society anymore i basically just buy food from the beaner filled store pay all bills online then spend the day talking shit online like a coward what a life,hate,hate,2.9285218715667725,"Contains an ethnic slur ('beaner') targeting a protected group, which is discriminatory and demeaning.",mexican,hispanic,canned_50_quick,success
baseline_standard,"in 2010, they tried to pass a law called fada that would have stopped lgbtq people from adopting children. it failed. -",hate,normal,3.088801622390747,The text neutrally reports on a proposed law affecting LGBTQ people without endorsing discrimination or using slurs or harassment.,lgbtq,lgbtq,canned_50_quick,success
